"Start","End","Day","Weekend","Arrival","Charge.Duration","Park.Duration","Energy"
2018-01-23 19:40:00,2018-01-23 22:28:00,"Tuesday",0,19.67,96.1833333333333,167.233333333333,5.728
2018-01-23 20:24:00,2018-01-23 21:34:00,"Tuesday",0,20.4,54.9833333333333,70.3833333333333,2.876
2018-01-23 21:06:00,2018-01-23 22:06:00,"Tuesday",0,21.1,59.1833333333333,59.35,3.131
2018-01-24 00:20:00,2018-01-24 03:58:00,"Wednesday",0,0.33,216.25,217.733333333333,24.887
2018-01-24 00:34:00,2018-01-24 01:59:00,"Wednesday",0,0.57,84.3333333333333,84.5333333333333,8.472
2018-01-24 00:51:00,2018-01-24 02:09:00,"Wednesday",0,0.85,77.95,78.1,7.71
2018-01-24 00:58:00,2018-01-24 02:12:00,"Wednesday",0,0.97,73.5833333333333,73.8333333333333,7.217
2018-01-24 03:48:00,2018-01-24 16:09:00,"Wednesday",0,3.8,192.516666666667,740.85,11.412
2018-01-24 16:05:00,2018-01-24 18:17:00,"Wednesday",0,16.08,131.566666666667,131.733333333333,7.647
2018-01-24 17:01:00,2018-01-24 19:56:00,"Wednesday",0,17.02,160.266666666667,175.433333333333,11.022
2018-01-24 17:44:00,2018-01-25 01:58:00,"Wednesday",0,17.73,494.316666666667,494.616666666667,50.731
2018-01-24 17:52:00,2018-01-24 18:19:00,"Wednesday",0,17.87,26.4166666666667,26.75,1.644
2018-01-24 18:35:00,2018-01-24 20:09:00,"Wednesday",0,18.58,94.5333333333333,94.8833333333333,10.31
2018-01-24 19:19:00,2018-01-24 20:03:00,"Wednesday",0,19.32,41.25,43.7333333333333,2.127
2018-01-24 19:46:00,2018-01-25 19:04:00,"Wednesday",0,19.77,306.85,1398.35,18.666
2018-01-25 00:02:00,2018-01-25 00:34:00,"Thursday",0,0.03,31.3833333333333,31.6666666666667,1.885
2018-01-25 04:00:00,2018-01-25 14:50:00,"Thursday",0,4,240.7,650.233333333333,17.053
2018-01-25 16:50:00,2018-01-25 16:58:00,"Thursday",0,16.83,8.03333333333333,8.53333333333333,0.792
2018-01-25 17:01:00,2018-01-25 17:06:00,"Thursday",0,17.02,5.3,5.55,0.531
2018-01-25 17:14:00,2018-01-25 17:16:00,"Thursday",0,17.23,1.76666666666667,2.11666666666667,0.172
2018-01-25 17:21:00,2018-01-25 17:23:00,"Thursday",0,17.35,1.63333333333333,2.08333333333333,0.165
2018-01-25 17:24:00,2018-01-25 17:25:00,"Thursday",0,17.4,0.7,1.25,0.067
2018-01-25 17:33:00,2018-01-25 17:34:00,"Thursday",0,17.55,0.666666666666667,1.25,0.063
2018-01-25 17:38:00,2018-01-25 18:34:00,"Thursday",0,17.63,55.95,56.1666666666667,5.664
2018-01-25 17:45:00,2018-01-25 18:06:00,"Thursday",0,17.75,21.0166666666667,21.3,2.284
2018-01-25 19:47:00,2018-01-25 20:04:00,"Thursday",0,19.78,17.2,17.4166666666667,1.069
2018-01-25 20:47:00,2018-01-26 18:33:00,"Thursday",0,20.78,76.2166666666667,1305.83333333333,4.448
2018-01-25 21:16:00,2018-01-25 21:52:00,"Thursday",0,21.27,35.7666666666667,35.95,3.477
