"Start","End","Day","Weekend","Arrival","Park.Duration","Energy"
2017-01-10 12:21:00,2017-01-10 12:46:00,"Tuesday",0,12.35,25,9.9
2017-01-10 12:24:00,2017-01-10 17:58:00,"Tuesday",0,12.4,334,8.49
2017-01-10 12:27:00,2017-01-10 12:31:00,"Tuesday",0,12.45,4,1.74
2017-01-10 12:37:00,2017-01-10 15:48:00,"Tuesday",0,12.62,191,6.88
2017-01-10 12:44:00,2017-01-10 12:57:00,"Tuesday",0,12.73,13,4.62
2017-01-10 12:55:00,2017-01-10 13:03:00,"Tuesday",0,12.92,8,4.74
2017-01-10 13:13:00,2017-01-10 13:41:00,"Tuesday",0,13.22,28,10.84
2017-01-10 13:15:00,2017-01-10 14:04:00,"Tuesday",0,13.25,49,16.15
2017-01-10 13:17:00,2017-01-10 14:45:00,"Tuesday",0,13.28,88,4.04
2017-01-10 13:20:00,2017-01-10 15:54:00,"Tuesday",0,13.33,154,6.35
2017-01-10 13:31:00,2017-01-10 14:36:00,"Tuesday",0,13.52,65,5.021
2017-01-10 13:33:00,2017-01-10 15:47:00,"Tuesday",0,13.55,134,8.52
2017-01-10 13:45:00,2017-01-10 13:50:00,"Tuesday",0,13.75,5,3.18
2017-01-10 13:48:00,2017-01-10 13:58:00,"Tuesday",0,13.8,10,3.9
2017-01-10 13:57:00,2017-01-10 15:56:00,"Tuesday",0,13.95,119,7.13
2017-01-10 14:00:00,2017-01-10 14:45:00,"Tuesday",0,14,45,10.29
2017-01-10 14:01:00,2017-01-10 15:42:00,"Tuesday",0,14.02,101,3.026
2017-01-10 14:11:00,2017-01-10 14:35:00,"Tuesday",0,14.18,24,10.97
2017-01-10 14:16:00,2017-01-10 14:23:00,"Tuesday",0,14.27,7,3.09
2017-01-10 14:21:00,2017-01-10 20:37:00,"Tuesday",0,14.35,376,10.83
2017-01-10 14:25:00,2017-01-10 14:49:00,"Tuesday",0,14.42,24,17.72
2017-01-10 14:30:00,2017-01-10 15:00:00,"Tuesday",0,14.5,30,10.92
2017-01-10 15:01:00,2017-01-10 16:45:00,"Tuesday",0,15.02,104,10.894
2017-01-10 15:04:00,2017-01-10 15:44:00,"Tuesday",0,15.07,40,13.13
2017-01-10 15:05:00,2017-01-10 16:22:00,"Tuesday",0,15.08,77,2.801
2017-01-10 15:06:00,2017-01-10 15:14:00,"Tuesday",0,15.1,8,4.45
2017-01-10 15:11:00,2017-01-10 15:57:00,"Tuesday",0,15.18,46,20.98
2017-01-10 15:13:00,2017-01-10 16:37:00,"Tuesday",0,15.22,84,4.87
2017-01-10 15:22:00,2017-01-10 15:56:00,"Tuesday",0,15.37,34,12.45
2017-01-10 15:32:00,2017-01-10 16:19:00,"Tuesday",0,15.53,47,8.567
2017-01-10 15:45:00,2017-01-10 15:54:00,"Tuesday",0,15.75,9,4.77
2017-01-10 15:55:00,2017-01-10 16:33:00,"Tuesday",0,15.92,38,14.49
2017-01-10 15:58:00,2017-01-10 16:24:00,"Tuesday",0,15.97,26,17.03
2017-01-10 16:01:00,2017-01-10 18:28:00,"Tuesday",0,16.02,147,10.495
2017-01-10 16:02:00,2017-01-10 16:13:00,"Tuesday",0,16.03,11,5.45
2017-01-10 16:24:00,2017-01-10 16:39:00,"Tuesday",0,16.4,15,2.94
2017-01-10 16:24:00,2017-01-10 16:42:00,"Tuesday",0,16.4,18,3.007
